Product,Name,Price (INR),Rating,Comment Heading,Comment,link
Vu Premium 108cm (43 inch) Full HD LED Smart Android TV,Sandeep Kumar,19999.0,5,Awesome,"what a grate tv sound clarity picture clarity was very super, connectivity nice... go for it and.installation also very fast thanks to flipkart...",https://www.flipkart.com/vu-premium-108cm-43-inch-full-hd-led-smart-android-tv/p/itmcdec1be66fe17?pid=TVSFZGK7BT8RCGUQ&lid=LSTTVSFZGK7BT8RCGUQE0N9YV&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=4fcdb1ba-a045-43f3-ac01-9829c8b562dc.TVSFZGK7BT8RCGUQ.SEARCH&ssid=4ek9l9nzz40000001584515749200&qH=f7d803b0195bd14d
Vu Premium 108cm (43 inch) Full HD LED Smart Android TV,mayuresh sinha,19999.0,5,Must buy!,It's very good in compare to the price you pay.,https://www.flipkart.com/vu-premium-108cm-43-inch-full-hd-led-smart-android-tv/p/itmcdec1be66fe17?pid=TVSFZGK7BT8RCGUQ&lid=LSTTVSFZGK7BT8RCGUQE0N9YV&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=4fcdb1ba-a045-43f3-ac01-9829c8b562dc.TVSFZGK7BT8RCGUQ.SEARCH&ssid=4ek9l9nzz40000001584515749200&qH=f7d803b0195bd14d
Vu Premium 108cm (43 inch) Full HD LED Smart Android TV,Flipkart Customer,19999.0,5,Perfect product!,Excellent product with working dolby support dts support dts and awsome experience,https://www.flipkart.com/vu-premium-108cm-43-inch-full-hd-led-smart-android-tv/p/itmcdec1be66fe17?pid=TVSFZGK7BT8RCGUQ&lid=LSTTVSFZGK7BT8RCGUQE0N9YV&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=4fcdb1ba-a045-43f3-ac01-9829c8b562dc.TVSFZGK7BT8RCGUQ.SEARCH&ssid=4ek9l9nzz40000001584515749200&qH=f7d803b0195bd14d
Vu Premium 108cm (43 inch) Full HD LED Smart Android TV,Girish Reshmi,19999.0,5,Terrific purchase,"Nice TV and Picture quality, connectivity excellent. Casting is little slow. Lunch day I booked 2020 model. Overall happy with product",https://www.flipkart.com/vu-premium-108cm-43-inch-full-hd-led-smart-android-tv/p/itmcdec1be66fe17?pid=TVSFZGK7BT8RCGUQ&lid=LSTTVSFZGK7BT8RCGUQE0N9YV&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=4fcdb1ba-a045-43f3-ac01-9829c8b562dc.TVSFZGK7BT8RCGUQ.SEARCH&ssid=4ek9l9nzz40000001584515749200&qH=f7d803b0195bd14d
Vu Premium 108cm (43 inch) Full HD LED Smart Android TV,Raghu Ram,19999.0,5,Super!,"Awesome performance . Value for money.  * Firstly Casting is slow, after updated the chrome cast app in Play Store, now casting working fast and furious. * voice assistant work with my phone. It is work with Google device (ok Google) .*The voice assistant button not provided in the remote . the remote work with IR sensor .Voice will only work with Bluetooth. *The tv has Bluetooth. For accessories like (bl headphones or soundbars.or gamepads. Bl keyboard or mouse)  But remote doesn't have ...",https://www.flipkart.com/vu-premium-108cm-43-inch-full-hd-led-smart-android-tv/p/itmcdec1be66fe17?pid=TVSFZGK7BT8RCGUQ&lid=LSTTVSFZGK7BT8RCGUQE0N9YV&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=4fcdb1ba-a045-43f3-ac01-9829c8b562dc.TVSFZGK7BT8RCGUQ.SEARCH&ssid=4ek9l9nzz40000001584515749200&qH=f7d803b0195bd14d
Vu Premium 108cm (43 inch) Full HD LED Smart Android TV,Syam babu Devarapalli,19999.0,5,Just wow!,Super,https://www.flipkart.com/vu-premium-108cm-43-inch-full-hd-led-smart-android-tv/p/itmcdec1be66fe17?pid=TVSFZGK7BT8RCGUQ&lid=LSTTVSFZGK7BT8RCGUQE0N9YV&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=4fcdb1ba-a045-43f3-ac01-9829c8b562dc.TVSFZGK7BT8RCGUQ.SEARCH&ssid=4ek9l9nzz40000001584515749200&qH=f7d803b0195bd14d
Vu Premium 108cm (43 inch) Full HD LED Smart Android TV,Kumar Padhi,19999.0,5,Brilliant,Nice picture and sound quality value for what I paid .,https://www.flipkart.com/vu-premium-108cm-43-inch-full-hd-led-smart-android-tv/p/itmcdec1be66fe17?pid=TVSFZGK7BT8RCGUQ&lid=LSTTVSFZGK7BT8RCGUQE0N9YV&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=4fcdb1ba-a045-43f3-ac01-9829c8b562dc.TVSFZGK7BT8RCGUQ.SEARCH&ssid=4ek9l9nzz40000001584515749200&qH=f7d803b0195bd14d
Vu Premium 108cm (43 inch) Full HD LED Smart Android TV,Ashok Mali,19999.0,5,Mind-blowing purchase,Good Excellent,https://www.flipkart.com/vu-premium-108cm-43-inch-full-hd-led-smart-android-tv/p/itmcdec1be66fe17?pid=TVSFZGK7BT8RCGUQ&lid=LSTTVSFZGK7BT8RCGUQE0N9YV&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=4fcdb1ba-a045-43f3-ac01-9829c8b562dc.TVSFZGK7BT8RCGUQ.SEARCH&ssid=4ek9l9nzz40000001584515749200&qH=f7d803b0195bd14d
Vu Premium 108cm (43 inch) Full HD LED Smart Android TV,Kanakarao Divvela,19999.0,5,Classy product,Very nice product. Value for money. Installation boy behaviour not well and he lot of interest to sell his wall  mount stand that's y he not explain about TV fonction. Thanks to Flipkart and thanks VU.,https://www.flipkart.com/vu-premium-108cm-43-inch-full-hd-led-smart-android-tv/p/itmcdec1be66fe17?pid=TVSFZGK7BT8RCGUQ&lid=LSTTVSFZGK7BT8RCGUQE0N9YV&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=4fcdb1ba-a045-43f3-ac01-9829c8b562dc.TVSFZGK7BT8RCGUQ.SEARCH&ssid=4ek9l9nzz40000001584515749200&qH=f7d803b0195bd14d
Vu Premium 108cm (43 inch) Full HD LED Smart Android TV,DASAM RAJESH,19999.0,5,Terrific,Super product thanks flipkate,https://www.flipkart.com/vu-premium-108cm-43-inch-full-hd-led-smart-android-tv/p/itmcdec1be66fe17?pid=TVSFZGK7BT8RCGUQ&lid=LSTTVSFZGK7BT8RCGUQE0N9YV&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=4fcdb1ba-a045-43f3-ac01-9829c8b562dc.TVSFZGK7BT8RCGUQ.SEARCH&ssid=4ek9l9nzz40000001584515749200&qH=f7d803b0195bd14d
